epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14610.4,1.01541,0.45994,0.97796,0.96561,0.92716,0.96133,0.77655,0.84315,0.39089,0.97537,0.005842,0.005842,0.005842
44,14950.9,1.0185,0.45965,0.9781,0.96204,0.92924,0.9613,0.77831,0.84241,0.39052,0.97507,0.005743,0.005743,0.005743
45,15290.6,1.0125,0.45636,0.97653,0.96204,0.93024,0.96182,0.77855,0.84182,0.38965,0.975,0.005644,0.005644,0.005644
46,15630.8,1.00781,0.45532,0.97394,0.96455,0.93181,0.96208,0.78021,0.84124,0.38898,0.97476,0.005545,0.005545,0.005545
47,15970.1,1.00602,0.45435,0.97456,0.96471,0.93144,0.96221,0.77995,0.84079,0.38796,0.97454,0.005446,0.005446,0.005446
48,16309.5,1.00397,0.45242,0.97427,0.9652,0.93171,0.96261,0.78028,0.84046,0.38783,0.97481,0.005347,0.005347,0.005347
49,16649.3,0.99975,0.45146,0.97427,0.96603,0.93239,0.96308,0.78038,0.83947,0.38694,0.97443,0.005248,0.005248,0.005248
50,16990.1,0.99603,0.44893,0.97097,0.96541,0.933,0.96354,0.78191,0.83864,0.38582,0.97425,0.005149,0.005149,0.005149
51,17329.5,0.99512,0.44796,0.97066,0.96426,0.93331,0.96347,0.78282,0.83808,0.38579,0.97393,0.00505,0.00505,0.00505
52,17669.8,0.98771,0.44566,0.9684,0.96535,0.93224,0.96322,0.78403,0.83735,0.38512,0.97393,0.004951,0.004951,0.004951
53,18009,0.98464,0.44351,0.96668,0.96382,0.93251,0.9631,0.78416,0.83698,0.38425,0.97401,0.004852,0.004852,0.004852
54,18348.5,0.983,0.44158,0.9658,0.96303,0.93353,0.96283,0.78465,0.83621,0.38371,0.97395,0.004753,0.004753,0.004753
55,18688.7,0.97602,0.4391,0.96253,0.96297,0.93246,0.96263,0.7844,0.83588,0.38306,0.97393,0.004654,0.004654,0.004654
56,19027.7,0.9759,0.43929,0.96468,0.96118,0.93445,0.96264,0.78389,0.83533,0.38286,0.97386,0.004555,0.004555,0.004555
57,19366.7,0.96852,0.43611,0.96178,0.9616,0.93419,0.96254,0.78497,0.83483,0.38236,0.97375,0.004456,0.004456,0.004456
58,19706.9,0.96647,0.43411,0.95954,0.96117,0.93272,0.96286,0.78551,0.83434,0.38132,0.97359,0.004357,0.004357,0.004357
59,20047.4,0.96411,0.43271,0.95831,0.96362,0.92965,0.96322,0.78551,0.83409,0.38087,0.97376,0.004258,0.004258,0.004258
60,20386.9,0.95808,0.43052,0.95621,0.96316,0.93128,0.96355,0.78652,0.83392,0.38045,0.97362,0.004159,0.004159,0.004159
61,20726.1,0.95651,0.43047,0.95725,0.96229,0.93112,0.96369,0.78708,0.83336,0.38013,0.97349,0.00406,0.00406,0.00406
62,21066.4,0.95304,0.42846,0.9551,0.96227,0.9327,0.96428,0.78748,0.83322,0.37955,0.97373,0.003961,0.003961,0.003961
63,21405.3,0.94621,0.42534,0.95303,0.9615,0.93324,0.96447,0.78783,0.83322,0.37921,0.97383,0.003862,0.003862,0.003862
64,21744.8,0.94337,0.42283,0.95201,0.9625,0.9338,0.96387,0.7876,0.83314,0.37898,0.97389,0.003763,0.003763,0.003763
65,22084.1,0.93828,0.42072,0.95232,0.96415,0.9339,0.96382,0.78842,0.83228,0.3791,0.97372,0.003664,0.003664,0.003664
66,22423.3,0.93298,0.41831,0.95039,0.96323,0.93417,0.96407,0.78845,0.83208,0.3783,0.97374,0.003565,0.003565,0.003565
67,22761.7,0.93133,0.41697,0.94957,0.96484,0.93243,0.96314,0.78844,0.83195,0.3782,0.97385,0.003466,0.003466,0.003466
68,23101.9,0.93125,0.41594,0.94659,0.9646,0.93285,0.96285,0.78839,0.83192,0.37735,0.97385,0.003367,0.003367,0.003367
69,23441,0.92318,0.41386,0.94558,0.96584,0.93354,0.96349,0.78954,0.83152,0.37723,0.97387,0.003268,0.003268,0.003268
70,23780.9,0.92039,0.41196,0.9445,0.96704,0.93367,0.96326,0.78948,0.83157,0.3769,0.97402,0.003169,0.003169,0.003169
71,24120.6,0.9173,0.40993,0.94374,0.96657,0.93309,0.9639,0.79001,0.83134,0.37644,0.97398,0.00307,0.00307,0.00307
72,24461.6,0.91261,0.40773,0.94221,0.96703,0.93223,0.9633,0.791,0.83106,0.37577,0.97394,0.002971,0.002971,0.002971
73,24801.7,0.908,0.40566,0.94146,0.96672,0.9337,0.96325,0.79048,0.83096,0.37596,0.97411,0.002872,0.002872,0.002872
74,25141.3,0.90433,0.40397,0.94009,0.96668,0.93273,0.96318,0.79113,0.83084,0.37555,0.97432,0.002773,0.002773,0.002773
75,25480.9,0.89858,0.40259,0.93835,0.96603,0.93415,0.96393,0.79062,0.83076,0.37483,0.97478,0.002674,0.002674,0.002674
76,25820.9,0.89641,0.40017,0.93629,0.96627,0.93392,0.96332,0.79138,0.83152,0.37449,0.97535,0.002575,0.002575,0.002575
77,26160.6,0.8909,0.39779,0.93595,0.96606,0.93492,0.9638,0.79188,0.83178,0.37448,0.97589,0.002476,0.002476,0.002476
78,26500.1,0.8857,0.39683,0.93492,0.96729,0.93325,0.96372,0.79334,0.83194,0.37435,0.97612,0.002377,0.002377,0.002377
79,26840.3,0.88376,0.39436,0.93435,0.96769,0.93373,0.96296,0.79254,0.83205,0.37451,0.97657,0.002278,0.002278,0.002278
80,27178.8,0.87605,0.39074,0.93174,0.96878,0.93243,0.96327,0.79201,0.83244,0.37429,0.97703,0.002179,0.002179,0.002179
81,27518.9,0.87309,0.38849,0.92964,0.96836,0.93215,0.96329,0.7921,0.83296,0.37397,0.97741,0.00208,0.00208,0.00208
82,27859.6,0.86738,0.38679,0.92979,0.9676,0.93037,0.96285,0.79257,0.83316,0.37402,0.9781,0.001981,0.001981,0.001981
83,28199,0.86386,0.38429,0.92614,0.96392,0.93454,0.96288,0.79283,0.83355,0.37391,0.97851,0.001882,0.001882,0.001882
84,28538.6,0.85944,0.38115,0.92597,0.96408,0.93491,0.96275,0.7928,0.83388,0.3745,0.97896,0.001783,0.001783,0.001783
85,28877.6,0.85482,0.37992,0.92316,0.96277,0.93562,0.96299,0.79209,0.83446,0.37434,0.97946,0.001684,0.001684,0.001684
86,29217.2,0.84784,0.37626,0.92237,0.96541,0.93298,0.96342,0.79252,0.83538,0.37479,0.97999,0.001585,0.001585,0.001585
87,29556.5,0.84445,0.37528,0.92045,0.96711,0.93374,0.96356,0.79266,0.83626,0.37522,0.98074,0.001486,0.001486,0.001486
88,29896.2,0.83918,0.37311,0.92,0.96709,0.9332,0.96346,0.79283,0.837,0.37502,0.98138,0.001387,0.001387,0.001387
89,30234.9,0.83393,0.36972,0.91819,0.96084,0.93732,0.96342,0.79337,0.83773,0.37517,0.98185,0.001288,0.001288,0.001288
90,30574.6,0.83057,0.36749,0.91607,0.96066,0.93908,0.96356,0.79339,0.83799,0.37506,0.98234,0.001189,0.001189,0.001189
91,30914.3,0.82363,0.34213,0.92111,0.96005,0.94058,0.96331,0.79352,0.83827,0.37493,0.98257,0.00109,0.00109,0.00109
92,31250.8,0.81121,0.33781,0.91534,0.95985,0.94053,0.9636,0.79346,0.8387,0.37511,0.98306,0.000991,0.000991,0.000991
93,31587.4,0.80159,0.33378,0.91146,0.96046,0.94095,0.96301,0.79353,0.83807,0.37507,0.98284,0.000892,0.000892,0.000892
94,31923.9,0.79335,0.33037,0.90944,0.96152,0.94107,0.96272,0.79407,0.83873,0.37521,0.98335,0.000793,0.000793,0.000793
95,32261.5,0.78682,0.32768,0.90921,0.96276,0.93733,0.96348,0.79499,0.83933,0.37534,0.98413,0.000694,0.000694,0.000694
96,32600.5,0.77779,0.32482,0.90496,0.95884,0.94161,0.96352,0.7953,0.83997,0.37575,0.98482,0.000595,0.000595,0.000595
97,32938.7,0.76811,0.32089,0.903,0.96954,0.93144,0.96308,0.79525,0.84045,0.37672,0.98566,0.000496,0.000496,0.000496
98,33277.2,0.7628,0.31931,0.90033,0.96325,0.93937,0.96296,0.79497,0.84104,0.37785,0.98664,0.000397,0.000397,0.000397
99,33616,0.75747,0.3168,0.89863,0.96764,0.93665,0.96305,0.79493,0.84166,0.37869,0.98748,0.000298,0.000298,0.000298
100,33954.7,0.74894,0.31382,0.89527,0.9642,0.93923,0.96326,0.79489,0.84248,0.37898,0.98857,0.000199,0.000199,0.000199
